data,loja,categoria,produto,quantidade,preco_unit,vendedor,desconto_pct,id_pedido
2026-01-03,Centro,Console,TECTOY X,2,1899.9,Ana,0,1001
2026-01-03,Centro,Jogo,Sonic Retro,3,129.9,Bruno,0.05,1001
2026-01-04,Centro,Acess贸rio,Controle Pro,5,199.9,Ana,"0,10",1002
2026-01-04,Zona Sul,Console,TECTOY X,1,1899.9,Caio,0,1003
2026-01-05,Zona Sul,Jogo,Street Racer,2,149.9,Bruno,0.08,1003
2026-01-05,Centro,Acess贸rio,Cabo HDMI,2,59.9,Ana,0,1004
2026-01-06,Centro,Jogo,Street Racer,4,149.9,Bruno,0.05,1005
2026-01-06,Zona Sul,Acess贸rio,Headset Lite,1,179.9,Caio,0,1006
2026-01-07,Centro,Console,TECTOY X,3,1899.9,Ana,0.12,1007
2026-01-07,Zona Sul,Jogo,Sonic Retro,1,129.9,Bruno,0,1008
2026-01-08,Centro,Acess贸rio,Headset Lite,2,179.9,Ana,"0,07",1009
2026-01-08,Zona Sul,Console,TECTOY X,2,1899.9,Caio,0,1010